cla_age_5,sexe,dept,prev,Niveau prioritaire,o3
80-84,1,93,1.423,2,32.013698630136986
80-84,1,94,1.323,2,31.40821917808219
80-84,2,75,0.672,2,29.65205479452055
80-84,2,95,0.466,2,35.342465753424655
80-84,9,78,0.783,2,35.106849315068494
80-84,9,91,0.836,2,34.536986301369865
80-84,9,92,0.877,2,31.04383561643836
80-84,9,93,0.845,2,32.013698630136986
80-84,9,94,0.826,2,31.40821917808219
85-89,1,75,1.089,2,29.65205479452055
85-89,1,91,1.087,2,34.536986301369865
85-89,2,78,0.508,2,35.106849315068494
85-89,2,91,0.437,2,34.536986301369865
85-89,2,93,0.485,2,32.013698630136986
85-89,2,94,0.454,2,31.40821917808219
85-89,9,91,0.682,2,34.536986301369865
90-94,1,93,0.878,2,32.013698630136986
90-94,1,95,1.272,2,35.342465753424655
90-94,2,75,0.363,2,29.65205479452055
90-94,2,77,0.273,2,35.38904109589041
90-94,2,91,0.244,2,34.536986301369865
90-94,2,92,0.358,2,31.04383561643836
90-94,2,93,0.415,2,32.013698630136986
90-94,2,94,0.398,2,31.40821917808219
90-94,9,78,0.451,2,35.106849315068494
90-94,9,91,0.357,2,34.536986301369865
90-94,9,92,0.463,2,31.04383561643836
90-94,9,95,0.521,2,35.342465753424655
95et+,9,78,0.326,2,35.106849315068494
tsage,1,75,0.253,2,29.65205479452055
tsage,1,78,0.231,2,35.106849315068494
tsage,1,95,0.224,2,35.342465753424655
tsage,2,77,0.13,2,35.38904109589041
tsage,2,91,0.128,2,34.536986301369865
tsage,2,92,0.146,2,31.04383561643836
tsage,9,75,0.214,2,29.65205479452055
tsage,9,77,0.187,2,35.38904109589041
tsage,9,91,0.179,2,34.536986301369865
tsage,9,93,0.171,2,32.013698630136986
tsage,9,95,0.167,2,35.342465753424655
35-39,9,75,0.013,3,29.65205479452055
35-39,9,78,0.013,3,35.106849315068494
35-39,9,92,0.012,3,31.04383561643836
40-44,1,95,0.04,3,35.342465753424655
